Rank,Player,Team,Blocks,PerGame
1,Dennis Seidenberg,BOS,215,2.72
2,Andy Sutton,OTT,204,2.83
3,Keith Ballard,FLA,201,2.45
4,Greg Zanon,MIN,196,2.42
5,Chris Pronger,PHI,189,2.3
6,Dan Girardi,NYR,180,2.2
7,Stephane Robidas,DAL,177,2.16
8,Anton Volchenkov,OTT,172,2.69
9,Kimmo Timonen,PHI,168,2.05
10,Tom Gilbert,EDM,165,2.01
11,Brett Clark,COL,162,2.53
12,Nick Schultz,MIN,158,1.98
13,Josh Gorges,MON,158,1.93
14,Roman Hamrlik,MON,157,2.09
15,Zbynek Michalek,PHO,156,2.17
16,Karlis Skrastins,DAL,156,1.97
17,Francois Beauchemin,TOR,155,1.89
18,Andy Greene,NJ,155,1.99
19,Brent Seabrook,CHI,153,1.96
20,Hal Gill,MON,150,2.21
21,Ron Hainsey,ATL,148,1.85
22,Kevin Klein,NSH,147,1.81
23,Aaron Ward,ANH,146,1.9
24,Scott Hannan,COL,144,1.78
25,Kyle Quincey,COL,143,1.81
26,Duncan Keith,CHI,143,1.74
27,Chris Phillips,OTT,142,1.73
28,Jason Strudwick,EDM,139,1.93
29,Jordan Leopold,PIT,138,1.7
30,Jay McKee,PIT,137,2.21
31,Tyler Myers,BUF,137,1.67
32,Ian White,CGY,137,1.65
33,Niklas Hjalmarsson,CHI,137,1.78
34,Matt Carle,PHI,137,1.71
35,Bryan Allen,FLA,137,1.85
36,Mark Eaton,PIT,135,1.71
37,Jaroslav Spacek,MON,134,1.81
38,Brad Stuart,DET,133,1.62
39,Jan Hejda,CLS,133,2.15
40,Mark Streit,NYI,132,1.61
41,Trevor Daley,DAL,131,1.7
42,Jack Hillen,NYI,131,1.9
43,Michal Rozsival,NYR,130,1.59
44,Dan Boyle,SJ,130,1.71
45,Jeff Schultz,WAS,129,1.77
46,Marek Zidlicky,MIN,128,1.64
47,Mike Weaver,STL,127,1.65
48,Matt Greene,LA,126,1.68
49,Jay Bouwmeester,CGY,126,1.54
50,Colin White,NJ,126,1.56
51,Mark Giordano,CGY,126,1.54
52,Matt Carkner,OTT,125,1.54
53,Roman Polak,STL,124,1.59
54,Fedor Tyutin,CLS,124,1.55
55,Zach Bogosian,ATL,124,1.53
56,Johnny Oduya,ATL,124,1.85
57,Joni Pitkanen,CAR,122,1.72
58,Tom Poti,WAS,121,1.73
59,Brent Sopel,CHI,120,1.64
60,Brooks Orpik,PIT,117,1.6
61,Steve Staios,CGY,116,2
62,Mattias Ohlund,TB,116,1.73
63,Matt Walker,TB,116,1.76
64,Luke Schenn,TOR,116,1.47
65,Tim Gleason,CAR,115,1.89
66,Alexander Edler,VAN,115,1.51
67,Ryan Whitney,EDM,115,1.42
68,Rob Blake,SJ,114,1.63
69,Kent Huskins,SJ,113,1.38
70,Derek Morris,PHO,112,1.47
71,Ryan Suter,NSH,112,1.37
72,Ryan O'Byrne,MON,111,2.02
73,Pavel Kubina,ATL,111,1.46
74,Dennis Wideman,BOS,110,1.45
75,Rob Scuderi,LA,109,1.49
76,Bryce Salvador,NJ,109,1.38
77,Braydon Coburn,PHI,109,1.35
78,Ed Jovanovski,PHO,108,1.64
79,Andrej Meszaros,TB,108,1.33
80,Mike Mottau,NJ,108,1.37
81,Brian Pothier,CAR,107,1.75
82,Lubomir Visnovsky,ANH,106,1.45
83,Bryan McCabe,FLA,106,1.29
84,Shea Weber,NSH,106,1.36
85,Barret Jackman,STL,106,1.61
86,Kyle Cumiskey,COL,105,1.72
87,Mike Green,WAS,105,1.4
88,Marc-Edouard Vlasic,SJ,104,1.63
89,Zdeno Chara,BOS,104,1.3
90,Shaone Morrisonn,WAS,104,1.53
91,Bruno Gervais,NYI,103,1.45
92,James Wisniewski,ANH,102,1.48
93,Adam Foote,COL,102,1.52
94,Brian Rafalski,DET,101,1.29
95,Nicklas Grossman,DAL,100,1.41
96,Dion Phaneuf,TOR,100,1.23
97,Tomas Kaberle,TOR,99,1.21
98,Douglas Murray,SJ,99,1.25
99,Tobias Enstrom,ATL,99,1.21
100,Steve Eminger,ANH,99,1.57
101,Eric Brewer,STL,98,1.66
102,Sean O'Donnell,LA,98,1.26
103,Toni Lydman,BUF,98,1.46
104,Marc Staal,NYR,97,1.18
105,Victor Hedman,TB,97,1.31
106,Chris Drury,NYR,97,1.26
107,Francis Bouillon,NSH,96,1.19
108,Kris Russell,CLS,96,1.37
109,Kris Letang,PIT,95,1.3
110,Henrik Tallinder,BUF,95,1.16
111,Dan Hamhuis,NSH,95,1.22
112,Andrew MacDonald,NYI,94,2.04
113,Alex Goligoski,PIT,93,1.35
114,Michael Del Zotto,NYR,92,1.15
115,Sergei Gonchar,PIT,92,1.48
116,Nate Thompson,TB,91,1.28
117,Dmitry Kulikov,FLA,90,1.32
118,John-Michael Liles,COL,89,1.51
119,Brett Carson,CAR,89,1.65
120,Andrew Alberts,VAN,89,1.17
121,Niclas Wallin,SJ,88,1.26
122,Freddy Meyer,NYI,87,1.36
123,Mike Commodore,CLS,87,1.53
124,Mike Lundin,TB,86,1.76
125,Jack Johnson,LA,86,1.08
126,Filip Kuba,OTT,86,1.62
127,Ryan Johnson,VAN,85,1.47
128,Darryl Sydor,STL,85,1.81
129,Jeff Finger,TOR,84,2.15
130,Nicklas Lidstrom,DET,82,1
131,Mark Stuart,BOS,82,1.46
132,Christian Ehrhoff,VAN,82,1.03
133,Keith Yandle,PHO,82,1
134,Robyn Regehr,CGY,81,1
135,Steve Montador,BUF,81,1.04
136,Ryan Callahan,NYR,81,1.05
137,Mike Fisher,OTT,80,1.01
138,John Erskine,WAS,80,1.6
139,Scott Niedermayer,ANH,80,1
140,Brian Campbell,CHI,79,1.16
141,Willie Mitchell,VAN,79,1.65
142,Mark Fistric,DAL,79,1.18
143,Chris Campoli,OTT,78,1.16
144,Matt Gilroy,NYR,77,1.12
145,Carl Gunnarsson,TOR,77,1.79
146,Alexandre Picard,CAR,77,1.43
147,Erik Johnson,STL,77,0.97
148,Ladislav Smid,EDM,76,1.49
149,Ryan Wilson,COL,76,1.25
150,Drew Doughty,LA,76,0.93
151,Wade Redden,NYR,75,1
152,Ian Laperriere,PHI,74,0.9
153,Brendan Witt,NYI,74,1.76
154,Martin Skoula,NJ,73,1.4
155,Ryan Kesler,VAN,73,0.89
156,Gregory Campbell,FLA,72,1.2
157,Taylor Chorney,EDM,72,1.71
158,Lukas Krajicek,PHI,72,1.44
159,Marc Methot,CLS,71,1.18
160,Kim Johnsson,CHI,70,1.17
161,Kurtis Foster,TB,70,0.99
162,Matt Niskanen,DAL,70,0.95
163,Todd Marchant,ANH,69,0.88
164,Joe Corvo,WAS,69,1.33
165,Paul Mara,MON,68,1.62
166,Ryan Potulny,EDM,67,1.05
167,Adrian Aucoin,PHO,67,0.82
168,Oskars Bartulis,PHI,67,1.26
169,Andrew Ference,BOS,66,1.29
170,Chris Butler,BUF,66,1.12
171,Matt Hunwick,BOS,65,0.86
172,Randy Jones,LA,65,1.35
173,T.J. Oshie,STL,65,0.86
174,Mathieu Roy,CLS,65,2.1
175,Steven Reinprecht,FLA,64,0.78
176,Mike Richards,PHI,64,0.78
177,Blair Betts,PHI,63,1
178,Tomas Plekanec,MON,63,0.77
179,Nicklas Backstrom,WAS,62,0.76
180,Sami Lepisto,PHO,62,0.94
181,Michal Handzus,LA,62,0.77
182,Shawn Horcoff,EDM,62,0.81
183,Joel Ward,NSH,62,0.87
184,Niklas Kronwall,DET,62,1.29
185,Mike Komisarek,TOR,62,1.82
186,Andrei Markov,MON,61,1.36
187,Mark Popovic,ATL,61,1.65
188,Joe Pavelski,SJ,60,0.9
189,Adam Pardy,CGY,60,1.05
190,R.J. Umberger,CLS,60,0.73
191,David Backes,STL,60,0.76
192,Sami Salo,VAN,60,0.88
193,Milan Jurcina,CLS,59,1.34
194,Craig Adams,PIT,59,0.72
195,Kevin Bieksa,VAN,59,1.07
196,Sheldon Brookbank,ANH,59,0.89
197,Nick Boynton,CHI,59,1.2
198,Davis Drewiske,LA,59,1.4
199,Stephen Weiss,FLA,59,0.74
200,Shane Hnidy,MIN,59,0.84
201,Johnny Boychuk,BOS,58,1.14
202,John Madden,CHI,58,0.73
203,Cory Sarich,CGY,57,1
204,Richard Park,NYI,56,0.69
205,Jim Vandermeer,PHO,56,0.9
206,Craig Rivet,BUF,56,0.72
207,Daymond Langkow,CGY,56,0.78
208,Denis Grebeshkov,NSH,55,1.08
209,Anton Stralman,CLS,55,0.75
210,Alexandre Burrows,VAN,54,0.66
211,Garnet Exelby,TOR,54,1.06
212,Daniel Winnik,PHO,54,0.73
213,Matt Cooke,PIT,54,0.68
214,Ryan O'Reilly,COL,53,0.65
215,Cody Franson,NSH,53,0.87
216,Paul Stastny,COL,53,0.65
217,Cam Barker,MIN,53,0.76
218,Matt Moulson,NYI,52,0.63
219,Shane O'Brien,VAN,52,0.8
220,Tyler Sloan,WAS,52,1.3
221,Carlo Colaiacovo,STL,52,0.78
222,Patrick O'Sullivan,EDM,52,0.71
223,Jay McClement,STL,52,0.63
