,Rank,Player,Blocks,PerGame,UniqueID,Rk,W,L,OL,PTS,Playoffs
0,1,Francois Beauchemin,256.0,3.12,COL_2015,21.0,39,39,4,82,False
1,5,Erik Johnson,197.0,2.7,COL_2015,21.0,39,39,4,82,False
2,62,Nick Holden,118.0,1.44,COL_2015,21.0,39,39,4,82,False
3,123,Tyson Barrie,84.0,1.08,COL_2015,21.0,39,39,4,82,False
4,153,Carl Soderberg,71.0,0.87,COL_2015,21.0,39,39,4,82,False
5,170,Gabriel Landeskog,66.0,0.88,COL_2015,21.0,39,39,4,82,False
6,174,John Mitchell,65.0,0.92,COL_2015,21.0,39,39,4,82,False
7,225,Nathan MacKinnon,53.0,0.74,COL_2015,21.0,39,39,4,82,False
8,263,Jarome Iginla,45.0,0.55,COL_2015,21.0,39,39,4,82,False
9,308,Shawn Matthias,39.0,0.55,COL_2015,21.0,39,39,4,82,False
10,310,Mikhail Grigorenko,39.0,0.53,COL_2015,21.0,39,39,4,82,False
11,312,Zach Redmond,39.0,1.05,COL_2015,21.0,39,39,4,82,False
12,323,Matt Duchene,37.0,0.49,COL_2015,21.0,39,39,4,82,False
13,346,Blake Comeau,35.0,0.43,COL_2015,21.0,39,39,4,82,False
14,369,Nate Guenin,33.0,1.14,COL_2015,21.0,39,39,4,82,False
15,398,Mikkel Boedker,31.0,0.39,COL_2015,21.0,39,39,4,82,False
16,430,Cody McLeod,28.0,0.34,COL_2015,21.0,39,39,4,82,False
17,436,Andrew Bodnarchuk,27.0,0.73,COL_2015,21.0,39,39,4,82,False
18,440,Andreas Martinsen,27.0,0.49,COL_2015,21.0,39,39,4,82,False
19,472,Jack Skille,25.0,0.34,COL_2015,21.0,39,39,4,82,False
20,493,Eric Gelinas,23.0,0.58,COL_2015,21.0,39,39,4,82,False
21,534,Brandon Gormley,19.0,0.73,COL_2015,21.0,39,39,4,82,False
22,578,Chris Bigras,17.0,0.55,COL_2015,21.0,39,39,4,82,False
23,583,Nikita Zadorov,16.0,0.73,COL_2015,21.0,39,39,4,82,False
24,625,Dennis Everberg,12.0,0.8,COL_2015,21.0,39,39,4,82,False
25,636,Mikko Rantanen,11.0,1.22,COL_2015,21.0,39,39,4,82,False
26,687,Brad Stuart,7.0,1.17,COL_2015,21.0,39,39,4,82,False
27,735,Ben Street,4.0,0.57,COL_2015,21.0,39,39,4,82,False
28,743,Andrew Agozzino,4.0,0.44,COL_2015,21.0,39,39,4,82,False
29,772,Borna Rendulic,3.0,1,COL_2015,21.0,39,39,4,82,False
30,861,Calvin Pickard,0.0,0,COL_2015,21.0,39,39,4,82,False
31,865,Roman Will,0.0,0,COL_2015,21.0,39,39,4,82,False
32,877,Reto Berra,0.0,0,COL_2015,21.0,39,39,4,82,False
33,945,Semyon Varlamov,0.0,0,COL_2015,21.0,39,39,4,82,False
34,962,Taylor Beck,0.0,0,COL_2015,21.0,39,39,4,82,False
35,2,Kris Russell,210.0,3.39,DAL_2015,2.0,50,23,9,109,True
36,13,Johnny Oduya,172.0,2.1,DAL_2015,2.0,50,23,9,109,True
37,106,Jordie Benn,94.0,1.47,DAL_2015,2.0,50,23,9,109,True
38,142,Jason Demers,73.0,1.18,DAL_2015,2.0,50,23,9,109,True
39,159,John Klingberg,68.0,0.89,DAL_2015,2.0,50,23,9,109,True
40,196,Antoine Roussel,58.0,0.73,DAL_2015,2.0,50,23,9,109,True
41,218,Jamie Benn,55.0,0.67,DAL_2015,2.0,50,23,9,109,True
42,229,Colton Sceviour,52.0,0.73,DAL_2015,2.0,50,23,9,109,True
43,251,Cody Eakin,47.0,0.57,DAL_2015,2.0,50,23,9,109,True
44,252,Patrik Nemeth,47.0,1.24,DAL_2015,2.0,50,23,9,109,True
45,304,Vernon Fiddler,39.0,0.48,DAL_2015,2.0,50,23,9,109,True
46,372,Valeri Nichushkin,33.0,0.42,DAL_2015,2.0,50,23,9,109,True
47,384,Radek Faksa,33.0,0.73,DAL_2015,2.0,50,23,9,109,True
48,423,Jamie Oleksiak,29.0,1.53,DAL_2015,2.0,50,23,9,109,True
49,443,Tyler Seguin,27.0,0.38,DAL_2015,2.0,50,23,9,109,True
50,454,Ales Hemsky,26.0,0.35,DAL_2015,2.0,50,23,9,109,True
51,480,Patrick Sharp,24.0,0.32,DAL_2015,2.0,50,23,9,109,True
52,517,Mattias Janmark,21.0,0.29,DAL_2015,2.0,50,23,9,109,True
53,521,Stephen Johns,21.0,1.5,DAL_2015,2.0,50,23,9,109,True
54,524,Patrick Eaves,20.0,0.37,DAL_2015,2.0,50,23,9,109,True
