,Rk,W,L,OL,PTS,UniqueID,Playoffs,Team,Blocks,Year,RRk
0,1.0,56,18,8,120,WAS_2015,True,WAS,1309.0,2015,30.0
1,2.0,50,23,9,109,DAL_2015,True,DAL,1196.0,2015,29.0
2,3.0,49,24,9,107,STL_2015,True,STL,1121.0,2015,28.0
3,4.0,48,26,8,104,PIT_2015,True,PIT,1133.0,2015,27.0
4,5.0,47,26,9,103,CHI_2015,True,CHI,1121.0,2015,26.0
5,6.0,46,25,11,103,ANH_2015,True,ANH,1216.0,2015,25.0
6,7.0,47,26,9,103,FLA_2015,True,FLA,910.0,2015,24.0
7,8.0,48,28,6,102,LA_2015,True,LA,1111.0,2015,23.0
8,9.0,46,27,9,101,NYR_2015,True,NYR,1308.0,2015,22.0
9,10.0,45,27,10,100,NYI_2015,True,NYI,1331.0,2015,21.0
10,11.0,46,30,6,98,SJ_2015,True,SJ,1405.0,2015,20.0
11,12.0,46,31,5,97,TB_2015,True,TB,1027.0,2015,19.0
12,13.0,41,27,14,96,PHI_2015,True,PHI,1269.0,2015,18.0
13,14.0,41,27,14,96,NSH_2015,True,NSH,1213.0,2015,17.0
14,15.0,41,30,11,93,DET_2015,True,DET,889.0,2015,16.0
15,16.0,42,31,9,93,BOS_2015,True,BOS,1313.0,2015,15.0
16,17.0,38,33,11,87,MIN_2015,False,MIN,1258.0,2015,14.0
17,18.0,35,31,16,86,CAR_2015,False,CAR,873.0,2015,13.0
18,19.0,38,35,9,85,OTT_2015,False,OTT,1180.0,2015,12.0
19,20.0,38,36,8,84,NJ_2015,False,NJ,1027.0,2015,11.0
20,21.0,39,39,4,82,COL_2015,False,COL,1431.0,2015,10.0
21,22.0,38,38,6,82,MON_2015,False,MON,1134.0,2015,9.0
22,23.0,35,36,11,81,BUF_2015,False,BUF,1036.0,2015,8.0
23,24.0,35,39,8,78,WPG_2015,False,WPG,1103.0,2015,7.0
24,25.0,35,39,8,78,ARI_2015,False,ARI,1328.0,2015,6.0
25,26.0,35,40,7,77,CGY_2015,False,CGY,1142.0,2015,5.0
26,27.0,34,40,8,76,CLS_2015,False,CLS,1266.0,2015,4.0
27,28.0,31,38,13,75,VAN_2015,False,VAN,1112.0,2015,3.0
28,29.0,31,43,8,70,EDM_2015,False,EDM,1191.0,2015,2.0
29,30.0,29,42,11,69,TOR_2015,False,TOR,892.0,2015,1.0
30,1.0,53,22,7,113,NYR_2014,True,NYR,1239.0,2014,30.0
31,2.0,50,22,10,110,MON_2014,True,MON,1580.0,2014,29.0
32,3.0,51,24,7,109,ANH_2014,True,ANH,1267.0,2014,28.0
33,4.0,51,24,7,109,STL_2014,True,STL,1300.0,2014,27.0
34,5.0,50,24,8,108,TB_2014,True,TB,1060.0,2014,26.0
35,6.0,47,25,10,104,NSH_2014,True,NSH,1291.0,2014,25.0
36,7.0,48,28,6,102,CHI_2014,True,CHI,1042.0,2014,24.0
37,8.0,47,28,7,101,NYI_2014,True,NYI,1321.0,2014,23.0
38,9.0,45,26,11,101,WAS_2014,True,WAS,1352.0,2014,22.0
39,10.0,48,29,5,101,VAN_2014,True,VAN,1256.0,2014,21.0
40,11.0,43,25,14,100,DET_2014,True,DET,997.0,2014,20.0
41,12.0,46,28,8,100,MIN_2014,True,MIN,1269.0,2014,19.0
42,13.0,43,26,13,99,WPG_2014,True,WPG,1250.0,2014,18.0
43,14.0,43,26,13,99,OTT_2014,True,OTT,1045.0,2014,17.0
44,15.0,43,27,12,98,PIT_2014,True,PIT,1143.0,2014,16.0
45,16.0,45,30,7,97,CGY_2014,True,CGY,1562.0,2014,15.0
46,17.0,41,27,14,96,BOS_2014,False,BOS,1074.0,2014,14.0
47,18.0,40,27,15,95,LA_2014,False,LA,1092.0,2014,13.0
48,19.0,41,31,10,92,DAL_2014,False,DAL,1208.0,2014,12.0
49,20.0,38,29,15,91,FLA_2014,False,FLA,989.0,2014,11.0
50,21.0,39,31,12,90,COL_2014,False,COL,1349.0,2014,10.0
51,22.0,40,33,9,89,SJ_2014,False,SJ,1285.0,2014,9.0
52,23.0,42,35,5,89,CLS_2014,False,CLS,1021.0,2014,8.0
53,24.0,33,31,18,84,PHI_2014,False,PHI,1255.0,2014,7.0
54,25.0,32,36,14,78,NJ_2014,False,NJ,959.0,2014,6.0
55,26.0,30,41,11,71,CAR_2014,False,CAR,891.0,2014,5.0
56,27.0,30,44,8,68,TOR_2014,False,TOR,976.0,2014,4.0
57,28.0,24,44,14,62,EDM_2014,False,EDM,1116.0,2014,3.0
58,29.0,24,50,8,56,ARI_2014,False,ARI,1029.0,2014,2.0
59,30.0,23,51,8,54,BUF_2014,False,BUF,1382.0,2014,1.0
60,1.0,54,15,13,121,WAS_2009,True,WAS,1126.0,2009,30.0
61,2.0,51,20,11,113,SJ_2009,True,SJ,1128.0,2009,29.0
62,3.0,52,22,8,112,CHI_2009,True,CHI,1146.0,2009,28.0
63,4.0,50,25,7,107,PHO_2009,True,PHO,1119.0,2009,27.0
64,5.0,49,28,5,103,VAN_2009,True,VAN,1042.0,2009,26.0
65,6.0,48,27,7,103,NJ_2009,True,NJ,983.0,2009,25.0
66,7.0,44,24,14,102,DET_2009,True,DET,905.0,2009,24.0
