Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,New York Rangers*,29.4,82,53,22,7,113,.689,252,192,0.69,-0.04,5.41,39,232,16.81,37,235,84.26,9,6,2582,9.6,2412,.925,101.7
2,Montreal Canadiens*,28.4,82,50,22,10,110,.671,221,189,0.36,-0.03,5.00,40,242,16.53,42,257,83.66,7,4,2334,9.2,2462,.929,101.5
3,Anaheim Ducks*,27.0,82,51,24,7,109,.665,236,226,0.10,-0.03,5.63,37,236,15.68,52,274,81.02,9,6,2458,9.3,2359,.910,100.0
4,St. Louis Blues*,28.3,82,51,24,7,109,.665,248,201,0.59,0.02,5.48,56,251,22.31,42,257,83.66,2,5,2535,9.4,2228,.914,100.6
5,Tampa Bay Lightning*,26.9,82,50,24,8,108,.659,262,211,0.57,-0.06,5.77,53,282,18.79,42,257,83.66,7,6,2428,10.7,2280,.913,101.4
6,Nashville Predators*,28.4,82,47,25,10,104,.634,232,208,0.33,0.03,5.37,42,259,16.22,45,234,80.77,4,5,2614,8.6,2304,.918,100.1
7,Chicago Blackhawks*,29.3,82,48,28,6,102,.622,229,189,0.51,0.02,5.10,46,260,17.69,35,211,83.41,3,7,2777,7.9,2469,.928,100.5
8,New York Islanders*,27.3,82,47,28,7,101,.616,252,230,0.26,-0.01,5.88,50,267,18.73,48,217,77.88,10,3,2771,8.8,2313,.907,99.4
9,Washington Capitals*,28.1,82,45,26,11,101,.616,242,203,0.44,-0.03,5.43,60,237,25.32,50,266,81.20,4,4,2419,9.8,2363,.918,101.3
10,Vancouver Canucks*,29.4,82,48,29,5,101,.616,242,222,0.20,-0.05,5.66,46,238,19.33,38,266,85.71,6,2,2453,9.6,2432,.915,100.6
11,Detroit Red Wings*,28.9,82,43,25,14,100,.610,235,221,0.14,-0.03,5.56,70,294,23.81,55,288,80.90,3,8,2429,9.5,2311,.913,100.5
12,Minnesota Wild*,27.7,82,46,28,8,100,.610,231,201,0.39,0.03,5.27,39,246,15.85,32,234,86.32,4,3,2522,9.0,2259,.915,100.2
13,Winnipeg Jets*,27.3,82,43,26,13,99,.604,230,210,0.29,0.04,5.37,48,269,17.84,56,308,81.82,10,5,2439,9.1,2339,.917,100.5
14,Ottawa Senators*,26.9,82,43,26,13,99,.604,238,215,0.25,-0.04,5.52,47,280,16.79,44,257,82.88,6,8,2539,9.1,2630,.923,101.2
15,Pittsburgh Penguins*,29.5,82,43,27,12,98,.598,221,210,0.12,-0.01,5.26,49,254,19.29,42,277,84.84,6,11,2594,8.4,2394,.918,100.0
16,Calgary Flames*,28.2,82,45,30,7,97,.591,241,216,0.26,-0.05,5.57,48,255,18.82,36,186,80.65,6,3,2252,10.5,2381,.915,101.4
17,Boston Bruins,28.3,82,41,27,14,96,.585,213,211,0.01,-0.01,5.17,38,213,17.84,44,244,81.97,8,3,2546,8.2,2442,.921,100.1
18,Los Angeles Kings,28.5,82,40,27,15,95,.579,220,205,0.16,-0.03,5.18,47,247,19.03,45,236,80.93,7,2,2536,8.6,2203,.916,99.9
19,Dallas Stars,28.5,82,41,31,10,92,.561,261,260,0.06,0.05,6.35,55,290,18.97,49,254,80.71,9,7,2558,10.0,2442,.900,99.7
20,Florida Panthers,29.2,82,38,29,15,91,.555,206,223,-0.23,-0.02,5.23,40,246,16.26,50,250,80.00,1,6,2516,7.9,2417,.915,99.4
21,Colorado Avalanche,28.6,82,39,31,12,90,.549,219,227,-0.04,0.06,5.44,37,247,14.98,37,241,84.65,4,2,2286,9.1,2705,.923,100.9
22,San Jose Sharks,28.5,82,40,33,9,89,.543,228,232,-0.08,-0.03,5.61,55,254,21.65,48,223,78.48,4,5,2591,8.6,2422,.912,99.6
23,Columbus Blue Jackets,27.0,82,42,35,5,89,.543,236,250,-0.16,0.01,5.93,53,244,21.72,60,303,80.20,5,5,2366,9.6,2730,.914,100.5
24,Philadelphia Flyers,28.6,82,33,31,18,84,.512,215,234,-0.23,0.00,5.48,60,256,23.44,61,266,77.07,3,6,2413,8.8,2471,.914,100.0
25,New Jersey Devils,30.5,82,32,36,14,78,.476,181,216,-0.40,0.02,4.84,41,212,19.34,52,268,80.60,7,8,2008,8.8,2505,.922,100.5
26,Carolina Hurricanes,27.9,82,30,41,11,71,.433,188,226,-0.44,0.02,5.05,45,240,18.75,29,190,84.74,2,4,2524,7.3,2225,.907,97.9
27,Toronto Maple Leafs,27.7,82,30,44,8,68,.415,211,262,-0.61,0.02,5.77,45,283,15.90,52,266,80.45,7,12,2397,8.6,2736,.910,99.4
28,Edmonton Oilers,27.2,82,24,44,14,62,.378,198,283,-1.01,0.03,5.87,41,232,17.67,51,219,76.71,4,7,2331,8.3,2454,.892,97.7
29,Arizona Coyotes,28.5,82,24,50,8,56,.341,170,272,-1.20,0.04,5.39,46,230,20.00,65,279,76.70,4,7,2393,6.9,2708,.907,97.6
30,Buffalo Sabres,26.9,82,23,51,8,54,.329,161,274,-1.33,0.05,5.30,30,224,13.39,64,257,75.10,7,8,1984,7.7,2911,.911,98.9
,League Average,28.2,82,41,31,10,92,.562,224,224,0.00,0.00,5.46,47,251,18.66,47,251,81.34,6,6,2453,9.1,2444,.915,
